#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
afcf4774f265b1f09ee2f873daf2e84b	Bacteria	 Acidobacteria	 Acidobacteriia	 Acidobacteriales	 Acidobacteriaceae	 	 
7d64198514db87b7fc120483adf574f7	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Sinobacteraceae	 	 
7eea5e5eede50aa9820f708ecaf16336	Bacteria	 Proteobacteria	 Gammaproteobacteria	 	 	 	 
fd5f17821dbf09c8c42252cf88f9a9da	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Gluconacetobacter	
da434a5b00ce9745121b995c2053e6a1	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	 
278377bdf764576f82c053558bd935d1	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Mycobacteriaceae	 Mycobacterium	 vaccae
9b913e697b27e5193e17f2b51f7e8bc6	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae		
3be8dd4b6e8758b3c41555b652027db0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Methylocystaceae	 	 
02f24bdb315d0c9a7f0f1f52521f8e3f	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae	 Bradyrhizobium	 
47a6d27f8b63b9f53c31ffbdcccd678a	Bacteria	 Proteobacteria	 Betaproteobacteria	 Rhodocyclales	 Rhodocyclaceae	 	 
a8a5f06f1ec5d3fc5838d773aa36c6dd	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	
a669301a82105693f913827dae3afdeb	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 0319-6G20	 	 
3dac34dca660a18ff4fc4deddd7b110e	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Coxiellaceae	 	 
1e1628524aaec68f47bcec9766e4a5d6	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
cd9b220900f78eee28ed37a140a48ff3	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	
b64120b8bf89b816f6964cd468816117	Bacteria	 Acidobacteria	 TM1	 	 	 	 
2e79e4f5d947d0fd5e6a49b54a93840c	Bacteria	 Acidobacteria	 DA052	 Ellin6513	 	 	 
606df3fb00d90e6308a63c96b1e86af9	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Castellaniella	
e41ef99154afb3686d7941cfa444eeeb	Bacteria	 Proteobacteria	 Betaproteobacteria	 	 	 	 
7ee3fca5a8909ea1fef472d6f3e53757	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae		
3dca91033aedc7e4adde41a70410de6a	Bacteria	 Chloroflexi	 Ktedonobacteria	 JG30-KF-AS9	 	 	 
a54813b913aa0c2add9a461615a2adef	Bacteria	 Acidobacteria	 DA052	 Ellin6513	 	 	 
18b8b2a598bf86c6affb0822b9319612	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Paenibacillus	 
ea0c2122324e20e138037dc6973dd31a	Bacteria	 Acidobacteria	 TM1	 	 	 	 
3c19e2ba2ff67c45807aa56311cc56e9	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 
045c4c00510c6571ea17490e4f241412	Bacteria	 Proteobacteria	 Betaproteobacteria	 SC-I-84	 	 	 
adbcdd5a0fed5a3316567fc78609ad75	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 	 	 
ddfe4eba79d0728130bdf5ef7e176ef2	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Rubrivivax	 gelatinosus
45acfaa88c1397bd448ef81643f5ecbf	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Hyphomicrobiaceae	 Rhodoplanes	 
2c0f26a0968297438c34b01f3066b9d4	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Bdellovibrionales	 Bdellovibrionaceae	 Bdellovibrio	 
fd48ad2b867473921c2dc8d15fb73cf5	Bacteria	 TM7	 TM7-3				
b5d5fad6b8b847f5d9313152e1a07302	Bacteria	 Acidobacteria	 Acidobacteriia	 Acidobacteriales	 Acidobacteriaceae	 	 
ec94a1a6fb1a6d61fda6f31b5a7d1075	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Ancylobacter	 oerskovii
26343258bbcd9e7cb090084d0db684a6	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales			
4fab5524983d7023fa2835c37d2e6ca3	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Hyphomicrobiaceae	 Devosia	 
eb9d200516ce6918dd61cac0e4df4cf6	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Mycobacteriaceae	 Mycobacterium	
3fb0a9cd14d09f02d7b6aa44c806f56d	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	 succinicans
c3da16030e927621f6d38fb74f465e04	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 0319-6G20	 	 
e6d904d956222560dac44ca91e294582	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae	 	 
fdc4ff2d8f58afb7776ecf3826aff287	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micromonosporaceae	 Dactylosporangium	 
7242ffe897a6fba841fc523d55d6f9d6	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae	 Acidocella	 
8947973ad5bd95e9b374c5adde9a6f00	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	
2b57d73703f6d60f7a7b129e8caee184	Bacteria	 Acidobacteria	 Solibacteres	 Solibacterales	 Solibacteraceae	 Candidatus Solibacter	 
62ef7683812cf9c93ad3f6dc56d32374	Bacteria	 Chloroflexi	 Ktedonobacteria	 Thermogemmatisporales	 Thermogemmatisporaceae	 	 
2956903c7c6ca62d555393771134a14c	Bacteria	 Acidobacteria	 DA052	 Ellin6513	 	 	 
0a92d579a5aad8f9838b4b80f661a438	Bacteria	 Chloroflexi	 Ktedonobacteria	 JG30-KF-AS9	 	 	 
e1866228620788eb44b62b04bf24ec96	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 	 	 
00e02949d41abe19ccbb2b8ddc96119a	Bacteria	 Acidobacteria	 Solibacteres	 Solibacterales	 Solibacteraceae	 Candidatus Solibacter	 
082310685820c21367dddf60a9e6775e	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Oceanobacillus	 caeni
74584d207d160c747bd0cdf7da8a1dde	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micromonosporaceae	 Catellatospora	 
70ad47e34be24502777bdc7934598812	Bacteria	 Proteobacteria	 Betaproteobacteria	 Rhodocyclales	 Rhodocyclaceae	 	 
454897a60e9907695df5474af16141b3	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptostreptococcaceae	 	 
d45b8d1e6cc1f94eca6ca0d0ed939b47	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Frankiaceae		
c3d3a248b5e22ac757e8c24827315a65	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Hyphomonadaceae	 	 
3f4bbe1629edb4396053b0843b574d0c	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 	 	 
48a593d3144ac8f437369affca05d82f	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Sinobacteraceae		
e9429375a151e7736b12e1e1926377e5	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	 
d1b639330fcc2b875bfb187978a10f90	Bacteria	 TM6	 SJA-4	 	 	 	 
79f42ad7bb857013d06347af9b4fe183	Bacteria	 FBP	 	 	 	 	 
d128745fe0a332f600b6504416dc7043	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptostreptococcaceae	 	 
dbfe99c7f587c27396859a55fbc6af0c	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae		
9b73627c09449ad428cce49ebb84ba13	Bacteria	 Actinobacteria	 Acidimicrobiia	 Acidimicrobiales	 EB1017	 	 
c175bea024122240917ece9bc0c405f4	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Kaistobacter	 
afb777ed160a813c28e3a49669ff154d	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Polyangiaceae	 	 
1ac1fce5cdd672a7e4d9f21db7bfbadd	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	
d902857bbfc7d9946fe8038ea5e9f0e5	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Ellin329	 	 	 
fe004beb8baac37c876e6f0438798da8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae		
fb2d7f427485c9b4a3091f710d2aadf3	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 	 
e061611dcb85dcf5b5aa52aacd3b11a7	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 	 	 
1e1f3374891e5d49c771f52eccc22d33	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae		
968638a5737c961a463386251412e6d0	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Salinispora	 
e30aebb8ec55fe92eb6d44028c55ae6d	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae		
881b95c9174d49d1324a2dd050958daf	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 	 
903ccb4c6a53f7b4f2a625b4fd7f9ce5	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 0319-6G20	 	 
