#NAME	105-BS	A479-R	A479-RS	B065S-R	B065S-RS	B067H-R	B067H-RS	B074S-R	B074S-RS	B076BH-R	B076BH-RS	B118H-R	B118H-RS	B124H-R	B124H-RS	B456-R	B456-RS	GY-R	GY-RS	H424-R	H424-RS	HB-R	HB-RS	K474-R	K474-RS	NHB-R	NHB-RS	XM-BS	ZJ-BS
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acidisoma	0.0	136.0	0.0	550.0	1108.0	93.0	502.0	660.0	0.0	120.0	730.0	37.0	595.0	167.0	1101.0	0.0	0.0	0.0	0.0	0.0	11.0	32.0	270.0	76.0	109.0	94.0	412.0	0.0	171.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	614.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2401.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;__	100.0	0.0	0.0	608.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	2327.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	2316.0	29.0	0.0	0.0	130.0	0.0	142.0	0.0	241.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	816.0	0.0	184.0	0.0	252.0	0.0	48.0	0.0	90.0	15.0	340.0	230.0	556.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__	0.0	177.0	527.0	0.0	0.0	68.0	0.0	129.0	570.0	0.0	164.0	0.0	1175.0	0.0	0.0	347.0	98.0	59.0	358.0	73.0	64.0	684.0	280.0	15.0	120.0	179.0	2235.0	0.0	49.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__	2230.0	14.0	0.0	0.0	77.0	0.0	0.0	0.0	213.0	0.0	142.0	0.0	98.0	0.0	71.0	0.0	0.0	12.0	120.0	0.0	49.0	0.0	0.0	0.0	113.0	0.0	84.0	132.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus	32.0	63.0	138.0	0.0	22.0	60.0	0.0	0.0	684.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	215.0	0.0	476.0	0.0	113.0	0.0	0.0	60.0	22.0	197.0	30.0	58.0	843.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Dyella	0.0	976.0	0.0	0.0	16.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	216.0	226.0	84.0	0.0	432.0	84.0	30.0	0.0	0.0	53.0	0.0	23.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;__	0.0	8.0	0.0	474.0	0.0	553.0	0.0	0.0	0.0	367.0	0.0	210.0	0.0	0.0	0.0	0.0	0.0	1861.0	0.0	0.0	0.0	3.0	0.0	270.0	0.0	308.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__Woodsholea	0.0	0.0	2094.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	80.0	211.0	565.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0	182.0	0.0	0.0	0.0	84.0	149.0	0.0	0.0	0.0	222.0	0.0	153.0	81.0	864.0	313.0	0.0	752.0	126.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinospicaceae;g__	0.0	31.0	62.0	1521.0	267.0	560.0	429.0	34.0	125.0	538.0	865.0	0.0	180.0	304.0	201.0	0.0	93.0	314.0	241.0	102.0	914.0	56.0	0.0	28.0	226.0	191.0	96.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Steroidobacter	490.0	323.0	150.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	335.0	58.0	0.0	45.0	0.0	0.0	160.0	0.0	1963.0	190.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;__	0.0	0.0	0.0	0.0	129.0	0.0	55.0	0.0	724.0	0.0	49.0	0.0	46.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	12.0	0.0	0.0	0.0	1129.0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__JG30-KF-AS9;f__;g__	2802.0	0.0	35.0	0.0	169.0	0.0	79.0	0.0	195.0	0.0	810.0	0.0	26.0	0.0	8.0	0.0	32.0	0.0	319.0	0.0	76.0	0.0	0.0	7.0	199.0	0.0	24.0	2099.0	19.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__	132.0	95.0	0.0	0.0	267.0	0.0	84.0	0.0	112.0	0.0	225.0	0.0	170.0	0.0	229.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0	103.0	142.0	0.0	643.0	161.0	404.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Salinispora	0.0	0.0	0.0	0.0	74.0	0.0	162.0	0.0	349.0	0.0	118.0	0.0	451.0	0.0	362.0	55.0	247.0	0.0	310.0	0.0	76.0	120.0	37.0	61.0	508.0	0.0	210.0	0.0	46.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter	332.0	0.0	263.0	0.0	40.0	0.0	326.0	0.0	394.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	897.0	40.0	822.0	0.0	612.0	0.0	0.0	17.0	234.0	46.0	320.0	723.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__	609.0	151.0	273.0	0.0	1065.0	0.0	679.0	0.0	798.0	38.0	1361.0	38.0	934.0	104.0	1019.0	0.0	517.0	184.0	688.0	39.0	799.0	38.0	212.0	70.0	942.0	65.0	1178.0	706.0	622.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	0.0	255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	16.0	24.0	49.0	1381.0	54.0	0.0	257.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__	0.0	0.0	29.0	121.0	340.0	91.0	280.0	0.0	304.0	99.0	240.0	103.0	179.0	0.0	167.0	0.0	18.0	0.0	72.0	0.0	43.0	2.0	106.0	0.0	176.0	171.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;__;__	0.0	32.0	0.0	0.0	14.0	0.0	0.0	21.0	0.0	0.0	22.0	0.0	99.0	165.0	236.0	297.0	0.0	19.0	0.0	0.0	0.0	0.0	19.0	45.0	0.0	81.0	0.0	1284.0	410.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__	1256.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__	0.0	129.0	283.0	0.0	137.0	108.0	1284.0	0.0	0.0	81.0	75.0	219.0	181.0	114.0	180.0	25.0	75.0	0.0	117.0	19.0	52.0	111.0	0.0	21.0	197.0	785.0	168.0	54.0	449.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herbaspirillum	0.0	74.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1314.0	303.0	143.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	200.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter	426.0	33.0	231.0	0.0	124.0	0.0	0.0	0.0	654.0	0.0	47.0	0.0	268.0	0.0	0.0	0.0	159.0	0.0	414.0	0.0	0.0	0.0	0.0	43.0	332.0	0.0	78.0	365.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Bordetella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1154.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	345.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Rathayibacter	0.0	0.0	0.0	129.0	295.0	0.0	186.0	0.0	0.0	0.0	300.0	0.0	162.0	0.0	268.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	223.0	0.0	71.0	0.0	42.0
