#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
b9fa78edef7d4d4123ae41c9da42752f	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__	s__
94e4e0cfc4e6884ec461ea579ca59460	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Rhodanobacter	s__
e420b2ebbcf16865f2f7a386f9f56979	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Methylibium	s__petroleiphilum
661063a26fbcb2bae7424b5a909dcdf4	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pandoraea	s__
791e9ecd67856822497aa859288146a9	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__	f__	g__	s__
937a90c0759d5a974ebcfea92006b693	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Ellin329	f__	g__	s__
af4c745647561f19c7f020eb1940adca	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__
5cdfd82bcbf701f1a3eb406bf032e68d	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia	s__bryophila
210bc1a1fb2a179c3ac50be3ee4809be	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Rhodoplanes	s__
11c7ae31a20c266576daae9d0362a4ea	k__Bacteria	p__Bacteroidetes	c__At12OctB3	o__	f__	g__	s__
5ea1199984b616c81b2c8e66bb7eb0ae	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Procabacteriales	f__Procabacteriaceae	g__	s__
0b030ce8ac56d90012b15c7b7d2a7ff8	k__Bacteria	p__Acidobacteria	c__TM1	o__	f__	g__	s__
66e7d7e8cf9b62c435afa0c0f19c4aa9	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	NA	NA
3eb913a0214f374711c5ef59bc933e6c	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__succinicans
87ebacc698791c143592b6414de82fb0	k__Bacteria	p__Acidobacteria	c__TM1	o__	f__	g__	s__
7de1e9b7a4682a44c6edeed58d18c21d	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__
8621840f2cfcc32ae9f8ff5fe7bf66c0	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	g__	s__
8eea9d4d8082b6f975d1fcd71be20e39	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__SC-I-84	f__	g__	s__
dd65658dce90418f98769652a04a23ed	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__	s__
